year,city,country,avg_temp
2009,Los Angeles,Chile,13.04
2010,Los Angeles,Chile,12.69
2011,Los Angeles,Chile,13.25
2012,Los Angeles,Chile,13.48
2013,Los Angeles,Chile,13.07
1855,Santiago,Chile,2.57
1856,Santiago,Chile,5.00
1857,Santiago,Chile,5.10
1858,Santiago,Chile,5.10
1859,Santiago,Chile,5.60
1860,Santiago,Chile,5.25
1861,Santiago,Chile,4.84
1862,Santiago,Chile,4.79
1863,Santiago,Chile,4.51
1864,Santiago,Chile,4.99
1865,Santiago,Chile,5.45
1866,Santiago,Chile,5.35
1867,Santiago,Chile,5.07
1868,Santiago,Chile,5.26
1869,Santiago,Chile,4.95
1870,Santiago,Chile,4.84
1871,Santiago,Chile,4.65
1872,Santiago,Chile,4.82
1873,Santiago,Chile,5.21
1874,Santiago,Chile,4.76
1875,Santiago,Chile,5.01
1876,Santiago,Chile,5.74
1877,Santiago,Chile,6.34
1878,Santiago,Chile,5.59
1879,Santiago,Chile,5.90
1880,Santiago,Chile,5.83
1881,Santiago,Chile,5.17
1882,Santiago,Chile,5.47
1883,Santiago,Chile,5.10
1884,Santiago,Chile,5.11
1885,Santiago,Chile,4.74
1886,Santiago,Chile,5.17
1887,Santiago,Chile,5.41
1888,Santiago,Chile,5.70
1889,Santiago,Chile,4.51
1890,Santiago,Chile,5.16
1891,Santiago,Chile,5.57
1892,Santiago,Chile,4.99
1893,Santiago,Chile,4.97
1894,Santiago,Chile,5.34
1895,Santiago,Chile,5.54
1896,Santiago,Chile,6.26
1897,Santiago,Chile,5.69
1898,Santiago,Chile,4.88
1899,Santiago,Chile,5.93
1900,Santiago,Chile,5.94
1901,Santiago,Chile,5.78
1902,Santiago,Chile,5.83
1903,Santiago,Chile,5.44
1904,Santiago,Chile,5.68
1905,Santiago,Chile,5.66
1906,Santiago,Chile,5.76
1907,Santiago,Chile,5.11
1908,Santiago,Chile,5.56
1909,Santiago,Chile,5.27
1910,Santiago,Chile,5.14
1911,Santiago,Chile,5.19
1912,Santiago,Chile,5.73
1913,Santiago,Chile,6.23
1914,Santiago,Chile,5.52
1915,Santiago,Chile,5.78
1916,Santiago,Chile,5.29
1917,Santiago,Chile,5.56
1918,Santiago,Chile,5.50
1919,Santiago,Chile,5.91
1920,Santiago,Chile,5.68
1921,Santiago,Chile,5.27
1922,Santiago,Chile,5.18
1923,Santiago,Chile,5.07
1924,Santiago,Chile,5.42
1925,Santiago,Chile,5.83
1926,Santiago,Chile,6.09
1927,Santiago,Chile,5.78
1928,Santiago,Chile,5.30
1929,Santiago,Chile,5.76
1930,Santiago,Chile,6.23
1931,Santiago,Chile,5.48
1932,Santiago,Chile,5.92
1933,Santiago,Chile,5.58
1934,Santiago,Chile,5.28
